played_at,spotify_id,spotify_uri,track_name,artist_name,album_name,duration_ms
2026-08-02 19:48:00.830,50oS45iNMFp7pKIQRAWIUP,spotify:track:50oS45iNMFp7pKIQRAWIUP,Kids In The Dark,All Time Low,Future Hearts,216689
2026-08-02 19:44:23.802,7079nY1EuvdfIxaMYaTjR9,spotify:track:7079nY1EuvdfIxaMYaTjR9,This Time It's Different,Evans Blue,Graveyard of Empires,209092
2026-08-02 19:40:54.295,3TGKHGXLEmrG0CMBTg2bw8,spotify:track:3TGKHGXLEmrG0CMBTg2bw8,Follow Your Lead,Feel Good,Follow Your Lead,156951
2026-08-02 19:38:16.917,3Hx7RXqCS7Kzjy2ot2q1Gk,spotify:track:3Hx7RXqCS7Kzjy2ot2q1Gk,Fever,The Black Keys,Turn Blue,246306
2026-08-02 19:34:10.277,1phlCrsipPBy6EOjJctacT,spotify:track:1phlCrsipPBy6EOjJctacT,I Hate LA,Hot Chelle Rae,I Hate LA,192000
2026-08-02 19:30:57.932,4pehGtiMD6B2WZHsKmr3oo,spotify:track:4pehGtiMD6B2WZHsKmr3oo,Neon Grave,Dayseeker,Dark Sun,240353
2026-08-02 19:26:57.236,33E5u0qmzBlsHkhU1bTBWa,spotify:track:33E5u0qmzBlsHkhU1bTBWa,Chapstick,COIN,Uncanny Valley,193299
2026-08-02 19:23:43.556,6u5XJJyBtyN6SGaat0ltJ7,spotify:track:6u5XJJyBtyN6SGaat0ltJ7,mr. dopamine,Elias.,wont lovers revolt now,157258
2026-08-02 19:21:05.873,3VOnXqki0pGxs8w0VV6LDC,spotify:track:3VOnXqki0pGxs8w0VV6LDC,All Eyes On You,OBB,Bright Side,205466
2026-08-02 19:17:40.012,4N2RGPjya8OIyMYz3t5LuY,spotify:track:4N2RGPjya8OIyMYz3t5LuY,Bitchin' Summer,Avril Lavigne,Avril Lavigne (Expanded Edition),210586
2026-08-02 19:14:08.986,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,Second Helping (Expanded Edition),283800
2026-08-02 19:09:24.849,4Df6AnRizaBgihUhZBi8FK,spotify:track:4Df6AnRizaBgihUhZBi8FK,Fall Out of Line,Sin Shake Sin,The Mess We've Made,203490
2026-08-02 19:06:00.944,4AFwnrH5atiJoAd5xS5QtR,spotify:track:4AFwnrH5atiJoAd5xS5QtR,The Man Who Can't Be Moved,The Script,The Script,241373
2026-08-02 19:01:59.145,58U9GVSBsl0ceijiNujFVN,spotify:track:58U9GVSBsl0ceijiNujFVN,What's Up America?,Martin Kerr,What's Up America?,183236
